"UTK", "Utirik Airport", 169.852005, 11.222
"OCA", "Ocean Reef Club Airport", -80.274803161621, 25.325399398804
"PQS", "Pilot Station Airport", -162.899994, 61.934601
"CSE", "Crested Butte Airpark", -106.928341, 38.851918
"JCY", "LBJ Ranch Airport", -98.62249755859999, 30.251800537100003
"PMX", "Metropolitan Airport", -72.31140136719999, 42.223300933800004
"WLR", "Loring Seaplane Base", -131.636993408, 55.6012992859
"NUP", "Nunapitchuk Airport", -162.440454, 60.905591
"PTC", "Port Alice Seaplane Base", -133.597, 55.803
"ICY", "Icy Bay Airport", -141.662002563, 59.96900177
"PPV", "Port Protection Seaplane Base", -133.61000061035, 56.328800201416
"KKK", "Kalakaket Creek AS Airport", -156.820392609, 64.4166256967
"MHS", "Dunsmuir Muni-Mott Airport", -122.272003, 41.263199
"NIR", "Chase Field Industrial Airport", -97.661917, 28.362444
"GCT", "Grand Canyon Bar Ten Airstrip", -113.231003, 36.259701
"ELW", "Ellamar Seaplane Base", -146.704038, 60.893818
"LVD", "Lime Village Airport", -155.440002441, 61.3591003418
"HGZ", "Hog River Airport", -155.6690063, 66.2161026
"OTN", "Ed-Air Airport", -87.4997024536, 38.851398468
"TLF", "Telida Airport", -153.26899719238, 63.393901824951
"BZT", "Eagle Air Park", -95.579696655273, 28.982200622559
"HBH", "Entrance Island Seaplane Base", -133.43848, 57.412201
"FAK", "False Island Seaplane Base", -135.212997437, 57.5321998596
"BYW", "Blakely Island Airport", -122.825996399, 48.578998565700005
"DRF", "Drift River Airport", -152.162002563, 60.588901519800004
"BDF", "Rinkenberger Restricted Landing Area", -89.61569976810001, 41.230899810800004
"VRS", "Roy Otten Memorial Airfield", -92.875198364258, 38.427799224854
"GDH", "Golden Horn Lodge Seaplane Base", -158.875, 59.7470016479
"ATT", "Atmautluak Airport", -162.272995, 60.866699
"LIV", "Livengood Camp Airport", -148.6534, 65.467
"PDB", "Pedro Bay Airport", -154.12399292, 59.7896003723
"KOZ", "Ouzinkie Airport", -152.496715, 57.925362
"TNK", "Tununak Airport", -165.27200317383, 60.575500488281
"EVA", "Ben Bruce Memorial Airpark", -94.07350158690001, 30.3209991455
"WHD", "Hyder Seaplane Base", -130.009975, 55.903324
"MNT", "Minto Al Wright Airport", -149.369995, 65.1437
"TKI", "Tokeen Seaplane Base", -133.32699585, 55.9370994568
"WKK", "Aleknagik / New Airport", -158.617996216, 59.2826004028
"WFB", "Ketchikan Harbor Seaplane Base", -131.677002, 55.349899
"NNK", "Naknek Airport", -157.02000427246, 58.732898712158
"BKF", "Lake Brooks Seaplane Base", -155.77699279785, 58.554798126221
"BCS", "Southern Seaplane Airport", -90.0222015381, 29.8661003113
"SPQ", "Catalina Air-Sea Terminal Heliport", -118.275001526, 33.7491989136
"TSS", "East 34th Street Heliport", -73.97209930419922, 40.74259948730469
"QNY", "New York Skyports Inc Seaplane Base", -73.9729, 40.734001
"BWL", "Earl Henry Airport", -97.3170013428, 36.7958984375
"WYB", "Yes Bay Lodge Seaplane Base", -131.800994873, 55.9163017273
"CWS", "Center Island Airport", -122.832000732, 48.4901008606
"TEK", "Tatitlek Airport", -146.690297, 60.871449
"DUF", "Pine Island Airport", -75.7884979248, 36.2535018921
"SSW", "Stuart Island Airpark", -123.17600250244, 48.672901153564
"FOB", "Fort Bragg Airport", -123.79599762, 39.4743003845
"PUL", "Port of Poulsbo Marina Moorage Seaplane Base", -122.64700317383, 47.734001159668
"CCD", "Century City Heliport", -118.417999268, 34.060798645
"WMK", "Meyers Chuck Seaplane Base", -132.255004883, 55.7396011353
